0-5981-1479-7  To Kill a Mockingbird  15  20
1-4472-7762-4  A Game of Thrones  20  15
0-3453-9180-2  1984  12  30
1-8609-2012-1  Animal Farm  10  25
0-3854-8680-6  The Hitchhiker's Guide to the Galaxy  18  10
0-4511-6349-1  Fahrenheit 451  14  18
1-8828-1041-6  The Art of Computer Programming  30  5
0-3211-4618-8  Introduction to Python Programming  25  12
0-5960-0708-8  Programming Perl  22  8
1-5661-9909-3  The Pragmatic Programmer  24  6
0-6723-2391-1  The C Programming Language  17  14
0-0728-5320-4  Database Systems: The Complete Book  28  7
0-2016-1622-3  The Mythical Man-Month  16  16
0-2016-3385-1  Linux For Beginners  26  9
0-1311-0362-8  Operating System Concepts  21  11
